Date,Ticker,Shares,Buy Price,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity
2025-10-06,ALDX,3.0,4.9475,14.8425,4.0,5.51,16.53,1.69,HOLD,,
2025-10-06,SPRO,13.0,1.8899999856948853,24.56999981403351,1.65,2.09,27.17,2.6,HOLD,,
2025-10-06,OKYO,10.0,2.0799999237060547,20.799999237060547,1.6,2.04,20.4,-0.4,HOLD,,
2025-10-06,TLSA,8.0,1.9900000095367432,15.920000076293944,1.5,1.97,15.76,-0.16,HOLD,,
2025-10-06,TOTAL,,,,,,79.86,3.73,,0.95,80.81
2025-10-07,SPRO,13.0,1.8899999856948853,24.56999981403351,1.65,2.16,28.08,3.51,HOLD,,
2025-10-07,OKYO,10.0,2.0799999237060547,20.799999237060547,1.6,2.03,20.3,-0.5,HOLD,,
2025-10-07,TLSA,8.0,1.9900000095367432,15.920000076293944,1.5,2.17,17.36,1.44,HOLD,,
2025-10-07,TOTAL,,,,,,65.74,4.45,,17.48,83.22
2025-10-08,SPRO,13.0,1.8899999856948853,24.56999981403351,1.8,2.28,29.64,5.07,HOLD,,
2025-10-08,OKYO,10.0,2.0799999237060547,20.799999237060547,1.75,2.24,22.4,1.6,HOLD,,
2025-10-08,TLSA,6.0,1.9900000095367432,11.94000005722046,1.78,2.29,13.74,1.8,HOLD,,
2025-10-08,TOTAL,,,,,,65.78,8.47,,21.98,87.76
2025-10-09,SPRO,13.0,1.8899999856948853,24.56999981403351,1.8,2.36,30.68,6.11,HOLD,,
2025-10-09,OKYO,10.0,2.0799999237060547,20.799999237060547,1.75,2.1,21.0,0.2,HOLD,,
2025-10-09,TLSA,6.0,1.9900000095367432,11.94000005722046,1.78,2.13,12.78,0.84,HOLD,,
2025-10-09,TOTAL,,,,,,64.46,7.15,,21.98,86.44
2025-10-10,SPRO,22.0,2.090454537001523,45.98999981403351,1.78,2.25,49.5,3.51,HOLD,,
2025-10-10,OKYO,10.0,2.0799999237060547,20.799999237060547,1.75,1.95,19.5,-1.3,HOLD,,
2025-10-10,TLSA,6.0,1.9900000095367432,11.94000005722046,1.78,2.04,12.24,0.3,HOLD,,
2025-10-10,TOTAL,,,,,,81.24,2.51,,0.56,81.8
2025-10-13,SPRO,15.0,2.090454537001523,31.356818055022845,1.78,2.29,34.35,2.99,HOLD,,
2025-10-13,TLSA,6.0,1.9900000095367432,11.94000005722046,1.78,2.13,12.78,0.84,HOLD,,
2025-10-13,MIST,17.0,2.0299999713897705,34.5099995136261,1.7,1.99,33.83,-0.68,HOLD,,
2025-10-13,TOTAL,,,,,,80.96,3.15,,2.4,83.36
2025-10-14,SPRO,15.0,2.090454537001523,31.356818055022845,1.78,2.36,35.4,4.04,HOLD,,
2025-10-14,TLSA,6.0,1.9900000095367432,11.94000005722046,1.78,2.14,12.84,0.9,HOLD,,
2025-10-14,MIST,17.0,2.0299999713897705,34.5099995136261,1.7,2.05,34.85,0.34,HOLD,,
2025-10-14,TOTAL,,,,,,83.09,5.28,,2.4,85.49
2025-10-15,SPRO,15.0,2.090454537001523,31.356818055022845,1.78,2.49,37.35,5.99,HOLD,,
2025-10-15,TLSA,6.0,1.9900000095367432,11.94000005722046,1.78,2.11,12.66,0.72,HOLD,,
2025-10-15,MIST,17.0,2.0299999713897705,34.5099995136261,1.7,2.05,34.85,0.34,HOLD,,
2025-10-15,TOTAL,,,,,,84.86,7.05,,2.4,87.26
2025-10-16,SPRO,15.0,2.090454537001523,31.356818055022845,1.78,2.35,35.25,3.89,HOLD,,
2025-10-16,TLSA,6.0,1.9900000095367432,11.94000005722046,1.78,2.02,12.12,0.18,HOLD,,
2025-10-16,MIST,17.0,2.0299999713897705,34.5099995136261,1.7,1.97,33.49,-1.02,HOLD,,
2025-10-16,TOTAL,,,,,,80.86,3.05,,2.4,83.26
2025-10-17,SPRO,15.0,2.090454537001523,31.356818055022845,1.78,2.21,33.15,1.79,HOLD,,
2025-10-17,TLSA,6.0,1.9900000095367432,11.94000005722046,1.78,1.95,11.7,-0.24,HOLD,,
2025-10-17,MIST,17.0,2.0299999713897705,34.5099995136261,1.7,1.94,32.98,-1.53,HOLD,,
2025-10-17,TOTAL,,,,,,77.83,0.02,,2.4,80.23
2025-10-20,MIST,17.0,2.0299999713897705,34.5099995136261,1.7,1.99,33.83,-0.68,HOLD,,
2025-10-20,AYTU,10.0,2.259999990463257,22.59999990463257,1.8,2.38,23.8,1.2,HOLD,,
2025-10-20,MBOT,8.0,2.8499999046325684,22.799999237060547,2.3,2.8,22.4,-0.4,HOLD,,
2025-10-20,TOTAL,,,,,,80.03,0.12,,2.0,82.03
2025-10-21,MIST,17.0,2.0299999713897705,34.5099995136261,1.7,2.03,34.51,0.0,HOLD,,
2025-10-21,AYTU,10.0,2.259999990463257,22.59999990463257,1.8,2.36,23.6,1.0,HOLD,,
2025-10-21,MBOT,8.0,2.8499999046325684,22.799999237060547,2.3,2.67,21.36,-1.44,HOLD,,
2025-10-21,TOTAL,,,,,,79.47,-0.44,,2.0,81.47
2025-10-22,MIST,17.0,2.0299999713897705,34.5099995136261,1.7,1.91,32.47,-2.04,HOLD,,
2025-10-22,AYTU,10.0,2.259999990463257,22.59999990463257,1.8,2.27,22.7,0.1,HOLD,,
2025-10-22,MBOT,8.0,2.8499999046325684,22.799999237060547,2.3,2.51,20.08,-2.72,HOLD,,
2025-10-22,TOTAL,,,,,,75.25,-4.66,,2.0,77.25
2025-10-23,MIST,17.0,2.0299999713897705,34.5099995136261,1.7,1.89,32.13,-2.38,HOLD,,
2025-10-23,AYTU,10.0,2.259999990463257,22.59999990463257,1.8,2.3,23.0,0.4,HOLD,,
2025-10-23,MBOT,8.0,2.8499999046325684,22.799999237060547,2.3,2.47,19.76,-3.04,HOLD,,
2025-10-23,TOTAL,,,,,,74.89,-5.02,,2.0,76.89
2025-10-24,MIST,17.0,2.0299999713897705,34.5099995136261,1.7,1.88,31.96,-2.55,HOLD,,
2025-10-24,AYTU,10.0,2.259999990463257,22.59999990463257,1.8,2.27,22.7,0.1,HOLD,,
2025-10-24,MBOT,8.0,2.8499999046325684,22.799999237060547,2.3,2.42,19.36,-3.44,HOLD,,
2025-10-24,TOTAL,,,,,,74.02,-5.89,,2.0,76.02
2025-10-27,MIST,18.0,2.022777750757005,36.4099995136261,1.7,1.91,34.38,-2.03,HOLD,,
2025-10-27,AYTU,10.0,2.259999990463257,22.59999990463257,1.8,2.21,22.1,-0.5,HOLD,,
2025-10-27,MBOT,8.0,2.8499999046325684,22.799999237060547,2.3,2.39,19.12,-3.68,HOLD,,
2025-10-27,TOTAL,,,,,,75.6,-6.21,,0.1,75.7
2025-10-28,MIST,18.0,2.022777750757005,36.4099995136261,1.7,1.83,32.94,-3.47,HOLD,,
2025-10-28,AYTU,10.0,2.259999990463257,22.59999990463257,1.8,2.17,21.7,-0.9,HOLD,,
2025-10-28,MBOT,8.0,2.8499999046325684,22.799999237060547,2.3,2.3,18.4,-4.4,SELL - Stop Loss Triggered,,
2025-10-28,TOTAL,,,,,,54.64,-4.37,,18.5,73.14
2025-10-29,MIST,18.0,2.022777750757005,36.4099995136261,1.7,1.84,33.12,-3.29,HOLD,,
2025-10-29,AYTU,10.0,2.259999990463257,22.59999990463257,1.8,2.18,21.8,-0.8,HOLD,,
2025-10-29,TOTAL,,,,,,54.92,-4.09,,18.5,73.42
2025-10-30,MIST,18.0,2.022777750757005,36.4099995136261,1.7,1.88,33.84,-2.57,HOLD,,
2025-10-30,AYTU,10.0,2.259999990463257,22.59999990463257,1.8,2.21,22.1,-0.5,HOLD,,
2025-10-30,TOTAL,,,,,,55.94,-3.07,,18.5,74.44
2025-10-31,MIST,18.0,2.022777750757005,36.4099995136261,1.7,1.92,34.56,-1.85,HOLD,,
2025-10-31,AYTU,10.0,2.259999990463257,22.59999990463257,1.8,2.27,22.7,0.1,HOLD,,
2025-10-31,TOTAL,,,,,,57.26,-1.75,,18.5,75.76
2025-11-03,MIST,18.0,2.022777750757005,36.4099995136261,1.7,1.85,33.3,-3.11,HOLD,,
2025-11-03,AYTU,10.0,2.259999990463257,22.59999990463257,1.8,2.21,22.1,-0.5,HOLD,,
2025-11-03,TOTAL,,,,,,55.4,-3.61,,18.5,73.9
2025-11-05,MIST,18.0,2.022777750757005,36.4099995136261,1.7,1.8,32.4,-4.01,HOLD,,
2025-11-05,AYTU,10.0,2.259999990463257,22.59999990463257,1.8,2.17,21.7,-0.9,HOLD,,
2025-11-05,TOTAL,,,,,,54.1,-4.91,,18.5,72.6
2025-11-06,MIST,18.0,2.022777750757005,36.4099995136261,1.7,1.7,30.6,-5.81,SELL - Stop Loss Triggered,,
2025-11-06,AYTU,10.0,2.259999990463257,22.59999990463257,1.8,1.8,18.0,-4.6,SELL - Stop Loss Triggered,,
2025-11-06,TOTAL,,,,,,0.0,0.0,,67.1,67.1
2025-11-07,TOTAL,,,,,,0.0,0.0,,67.1,67.1
2025-11-10,MIST,14.0,1.75,24.5,1.5,1.85,25.9,1.4,HOLD,,
2025-11-10,VTGN,6.0,4.010000228881836,24.060001373291016,3.2,3.98,23.88,-0.18,HOLD,,
2025-11-10,AYTU,8.0,2.009999990463257,16.079999923706055,1.6,2.09,16.72,0.64,HOLD,,
2025-11-10,TOTAL,,,,,,66.5,1.86,,2.46,68.96
2025-11-11,MIST,14.0,1.75,24.5,1.5,1.91,26.74,2.24,HOLD,,
2025-11-11,VTGN,6.0,4.010000228881836,24.060001373291016,3.2,4.03,24.18,0.12,HOLD,,
2025-11-11,AYTU,8.0,2.009999990463257,16.079999923706055,1.6,2.1,16.8,0.72,HOLD,,
2025-11-11,TOTAL,,,,,,67.72,3.08,,2.46,70.18
2025-11-12,MIST,14.0,1.75,24.5,1.5,1.93,27.02,2.52,HOLD,,
2025-11-12,VTGN,6.0,4.010000228881836,24.060001373291016,3.2,4.07,24.42,0.36,HOLD,,
2025-11-12,AYTU,8.0,2.009999990463257,16.079999923706055,1.6,2.06,16.48,0.4,HOLD,,
2025-11-12,TOTAL,,,,,,67.92,3.28,,2.46,70.38
2025-11-13,MIST,14.0,1.75,24.5,1.5,1.9,26.6,2.1,HOLD,,
2025-11-13,VTGN,6.0,4.010000228881836,24.060001373291016,3.2,3.8,22.8,-1.26,HOLD,,
2025-11-13,AYTU,8.0,2.009999990463257,16.079999923706055,1.6,2.06,16.48,0.4,HOLD,,
2025-11-13,TOTAL,,,,,,65.88,1.24,,2.46,68.34
2025-11-14,MIST,14.0,1.75,24.5,1.5,2.0,28.0,3.5,HOLD,,
2025-11-14,VTGN,6.0,4.010000228881836,24.060001373291016,3.2,3.8,22.8,-1.26,HOLD,,
2025-11-14,AYTU,8.0,2.009999990463257,16.079999923706055,1.6,2.09,16.72,0.64,HOLD,,
2025-11-14,TOTAL,,,,,,67.52,2.88,,2.46,69.98
2025-11-17,MIST,14.0,1.75,24.5,1.5,2.32,32.48,7.98,HOLD,,
2025-11-17,VTGN,6.0,4.010000228881836,24.060001373291016,3.2,4.42,26.52,2.46,HOLD,,
2025-11-17,SLS,13.0,1.409999966621399,18.329999566078182,1.1,1.41,18.33,0.0,HOLD,,
2025-11-17,TOTAL,,,,,,77.33,10.44,,0.85,78.18
2025-11-18,MIST,14.0,1.75,24.5,1.5,2.41,33.74,9.24,HOLD,,
2025-11-18,VTGN,6.0,4.010000228881836,24.060001373291016,3.2,4.63,27.78,3.72,HOLD,,
2025-11-18,SLS,13.0,1.409999966621399,18.329999566078182,1.1,1.59,20.67,2.34,HOLD,,
2025-11-18,TOTAL,,,,,,82.19,15.3,,0.85,83.04
2025-11-19,MIST,14.0,1.75,24.5,1.5,2.33,32.62,8.12,HOLD,,
2025-11-19,VTGN,6.0,4.010000228881836,24.060001373291016,3.2,4.5,27.0,2.94,HOLD,,
2025-11-19,SLS,13.0,1.409999966621399,18.329999566078182,1.1,1.52,19.76,1.43,HOLD,,
2025-11-19,TOTAL,,,,,,79.38,12.49,,0.85,80.23
2025-11-20,MIST,14.0,1.75,24.5,1.5,2.31,32.34,7.84,HOLD,,
2025-11-20,VTGN,6.0,4.010000228881836,24.060001373291016,3.2,4.45,26.7,2.64,HOLD,,
2025-11-20,SLS,13.0,1.409999966621399,18.329999566078182,1.1,1.46,18.98,0.65,HOLD,,
2025-11-20,TOTAL,,,,,,78.02,11.13,,0.85,78.87
2025-11-21,MIST,14.0,1.75,24.5,1.5,2.4,33.6,9.1,HOLD,,
2025-11-21,VTGN,6.0,4.010000228881836,24.060001373291016,3.2,4.59,27.54,3.48,HOLD,,
2025-11-21,SLS,13.0,1.409999966621399,18.329999566078182,1.1,1.53,19.89,1.56,HOLD,,
2025-11-21,TOTAL,,,,,,81.03,14.14,,0.85,81.88
2025-11-24,MIST,14.0,1.75,24.5,1.5,2.37,33.18,8.68,HOLD,,
2025-11-24,VTGN,6.0,4.010000228881836,24.060001373291016,3.2,4.72,28.32,4.26,HOLD,,
2025-11-24,SLS,13.0,1.409999966621399,18.329999566078182,1.1,1.55,20.15,1.82,HOLD,,
2025-11-24,TOTAL,,,,,,81.65,14.76,,0.85,82.5
2025-11-25,MIST,14.0,1.75,24.5,1.5,2.47,34.58,10.08,HOLD,,
2025-11-25,VTGN,6.0,4.010000228881836,24.060001373291016,3.2,4.69,28.14,4.08,HOLD,,
2025-11-25,SLS,13.0,1.409999966621399,18.329999566078182,1.1,1.44,18.72,0.39,HOLD,,
2025-11-25,TOTAL,,,,,,81.44,14.55,,0.85,82.29
2025-11-26,MIST,14.0,1.75,24.5,1.5,2.61,36.54,12.04,HOLD,,
2025-11-26,VTGN,6.0,4.010000228881836,24.060001373291016,3.2,4.54,27.24,3.18,HOLD,,
2025-11-26,SLS,13.0,1.409999966621399,18.329999566078182,1.1,1.46,18.98,0.65,HOLD,,
2025-11-26,TOTAL,,,,,,82.76,15.87,,0.85,83.61
2025-11-28,MIST,14,1.75,24.5,1.5,2.69,37.66,13.16,HOLD,,
2025-11-28,VTGN,6,4.010000228881836,24.060001373291016,3.2,4.9,29.4,5.34,HOLD,,
2025-11-28,SLS,13,1.409999966621399,18.329999566078182,1.1,1.62,21.06,2.73,HOLD,,
2025-11-28,TOTAL,,,,,,88.12,21.23,,0.85,88.97
